kind,game,roots,window_roots,avg_abs_error,avg_sq_error,total_avg_abs_error,total_avg_sq_error,last_abs_error,validation_samples,validation_avg_abs_error,validation_avg_sq_error,validation_last_abs_error,elapsed_ms,roots_per_sec,learn_rate
progress,1,30,30,0.051592,0.004589,0.051592,0.004589,0.038087,10,0.401463,0.234700,0.020694,6759,4.4,0.050000
progress,1,60,30,0.084693,0.017329,0.068143,0.010959,0.470377,10,0.401492,0.234722,0.020694,9860,6.1,0.050000
progress,1,90,30,0.133050,0.027115,0.089779,0.016344,0.109970,10,0.401492,0.234722,0.020694,12952,6.9,0.050000
progress,1,120,30,0.356037,0.154160,0.156343,0.050798,0.414229,10,0.401492,0.234722,0.020694,16048,7.5,0.050000
progress,1,150,30,0.289549,0.104020,0.182984,0.061443,0.042284,10,0.401492,0.234722,0.020694,19155,7.8,0.050000
progress,1,153,3,0.207918,0.047745,0.183473,0.061174,0.194528,10,0.401492,0.234722,0.020694,19458,7.9,0.040000
progress,2,183,30,0.987310,0.975059,0.315250,0.210991,0.999916,10,0.400231,0.233429,0.020190,22763,8.0,0.040000
progress,2,207,24,0.937715,0.889470,0.387420,0.289656,0.768545,10,0.400286,0.233505,0.020190,24838,8.3,0.040000
progress,3,237,30,0.273047,0.077686,0.372942,0.262824,0.306092,10,0.398152,0.232368,0.017045,28332,8.4,0.040000
progress,3,267,30,0.565033,0.330618,0.394525,0.270441,0.703229,10,0.398795,0.232848,0.017045,31451,8.5,0.040000
progress,3,288,21,0.954482,0.917806,0.435355,0.317645,0.878484,10,0.398794,0.232847,0.017045,33216,8.7,0.040000
progress,4,318,30,0.090236,0.016124,0.402797,0.289200,0.305279,10,0.400525,0.233695,0.020033,36684,8.7,0.040000
progress,4,348,30,0.219599,0.064542,0.387004,0.269833,0.126197,10,0.400642,0.233786,0.020033,39787,8.7,0.040000
progress,4,378,30,0.615166,0.453347,0.405112,0.284397,0.974373,10,0.400679,0.233837,0.020033,42883,8.8,0.040000
progress,4,408,30,0.641105,0.550856,0.422465,0.303990,0.081700,10,0.400679,0.233837,0.020033,45885,8.9,0.040000
progress,4,413,5,0.324095,0.215207,0.421274,0.302915,0.056086,10,0.400710,0.233869,0.020033,46202,8.9,0.040000
progress,5,443,30,0.185157,0.042475,0.405284,0.285278,0.266719,10,0.402122,0.235200,0.020695,49573,8.9,0.040000
progress,5,473,30,0.488084,0.350067,0.410535,0.289387,0.992202,10,0.401909,0.235022,0.020695,52669,9.0,0.040000
progress,5,503,30,0.584839,0.507183,0.420931,0.302377,0.820220,10,0.401909,0.235022,0.020695,55756,9.0,0.040000
progress,5,516,13,0.438940,0.318675,0.421385,0.302787,0.424266,10,0.401909,0.235022,0.020695,57047,9.0,0.040000
progress,6,546,30,0.216918,0.051305,0.410150,0.288970,0.324992,10,0.402231,0.235334,0.020829,60425,9.0,0.040000
progress,6,576,30,0.374851,0.141697,0.408312,0.281299,0.362735,10,0.402231,0.235334,0.020829,63507,9.1,0.040000
progress,6,606,30,0.270256,0.088197,0.401478,0.271740,0.131295,10,0.402199,0.235302,0.020829,66598,9.1,0.040000
progress,6,636,30,0.121755,0.032061,0.388283,0.260434,0.008243,10,0.402199,0.235302,0.020829,69689,9.1,0.040000
progress,6,651,15,0.223455,0.116783,0.384485,0.257124,0.327021,10,0.402199,0.235302,0.020829,71285,9.1,0.040000
progress,7,681,30,0.154929,0.026072,0.374373,0.246946,0.133453,10,0.401430,0.234531,0.020434,74573,9.1,0.040000
progress,7,711,30,0.186368,0.048089,0.366440,0.238555,0.376381,10,0.401738,0.234765,0.020434,77671,9.2,0.040000
progress,7,741,30,0.486610,0.269263,0.371305,0.239798,0.618604,10,0.401738,0.234765,0.020434,80783,9.2,0.040000
progress,7,771,30,0.480851,0.362647,0.375568,0.244579,0.148178,10,0.401738,0.234765,0.020434,83878,9.2,0.040000
progress,7,793,22,0.571604,0.460554,0.381006,0.250570,0.068040,10,0.401738,0.234765,0.020434,86050,9.2,0.040000
progress,8,823,30,0.045726,0.003719,0.368785,0.241572,0.050528,10,0.402801,0.235897,0.020998,89471,9.2,0.040000
progress,8,853,30,0.203408,0.058417,0.362968,0.235130,0.420475,10,0.402730,0.235813,0.020934,92615,9.2,0.040000
progress,8,883,30,0.765076,0.651391,0.376630,0.249273,0.617587,10,0.402733,0.235816,0.020934,95611,9.2,0.040000
progress,8,888,5,0.443077,0.322672,0.377004,0.249686,0.085544,10,0.402733,0.235816,0.020934,96027,9.2,0.040000
progress,9,918,30,0.246310,0.068379,0.372733,0.243761,0.356080,10,0.402116,0.235099,0.020446,99409,9.2,0.040000
progress,9,948,30,0.309546,0.103120,0.370733,0.239311,0.103735,10,0.402579,0.235457,0.020446,102509,9.2,0.040000
progress,9,978,30,0.128159,0.019712,0.363292,0.232574,0.074530,10,0.402579,0.235457,0.020446,105609,9.3,0.040000
progress,9,1008,30,0.279456,0.101775,0.360797,0.228682,0.591362,10,0.402581,0.235459,0.020446,108757,9.3,0.040000
progress,9,1038,30,0.720574,0.590368,0.371195,0.239135,0.877762,10,0.402581,0.235459,0.020446,111868,9.3,0.040000
progress,9,1041,3,0.271720,0.156754,0.370909,0.238897,0.088040,10,0.402581,0.235459,0.020446,112179,9.3,0.040000
progress,10,1071,30,0.209723,0.049200,0.366394,0.233584,0.247725,10,0.401258,0.234315,0.017103,115551,9.3,0.040000
progress,10,1101,30,0.259941,0.098800,0.363493,0.229911,0.113689,10,0.401511,0.234190,0.020228,118652,9.3,0.040000
progress,10,1131,30,0.546800,0.372456,0.368355,0.233692,0.086352,10,0.401623,0.234344,0.020228,121752,9.3,0.040000
progress,10,1161,30,0.472381,0.354309,0.371043,0.236809,0.046468,10,0.401623,0.234344,0.020228,124842,9.3,0.040000
progress,10,1187,26,0.509910,0.408892,0.374085,0.240578,0.016029,10,0.401755,0.234479,0.020228,127433,9.3,0.040000
progress,11,1208,21,0.120978,0.017482,0.369685,0.236700,0.017974,10,0.403243,0.236124,0.020954,129920,9.3,0.040000
progress,12,1238,30,0.091202,0.010188,0.362937,0.231211,0.110511,10,0.402939,0.235830,0.020845,133318,9.3,0.040000
progress,12,1264,26,0.809858,0.722133,0.372130,0.241309,1.000568,10,0.402133,0.235210,0.020845,135799,9.3,0.040000
progress,13,1294,30,0.123032,0.028636,0.366355,0.236378,0.480559,10,0.402302,0.235389,0.020933,139409,9.3,0.040000
progress,13,1324,30,0.689425,0.497479,0.373675,0.242295,0.931113,10,0.402301,0.235387,0.020933,142510,9.3,0.040000
progress,13,1354,30,0.602771,0.495090,0.378751,0.247896,0.022790,10,0.402301,0.235387,0.020933,145591,9.3,0.040000
progress,13,1384,30,0.404548,0.295124,0.379310,0.248919,0.066296,10,0.402481,0.235573,0.020933,148683,9.3,0.040000
progress,13,1386,2,0.476630,0.396037,0.379451,0.249132,0.065705,10,0.402481,0.235573,0.020933,148892,9.3,0.040000
progress,14,1416,30,0.774147,0.606583,0.387813,0.256705,0.800701,10,0.401978,0.235039,0.020672,152390,9.3,0.040000
progress,14,1446,30,0.745951,0.584478,0.395243,0.263505,0.929636,10,0.401978,0.235039,0.020672,155464,9.3,0.040000
progress,14,1476,30,0.497560,0.368987,0.397323,0.265649,0.701155,10,0.401978,0.235039,0.020672,158577,9.3,0.040000
progress,14,1501,25,0.365485,0.230081,0.396792,0.265057,0.047693,10,0.402259,0.235330,0.020672,161166,9.3,0.040000
progress,15,1531,30,0.651178,0.424498,0.401777,0.268181,0.659398,10,0.401684,0.234717,0.020335,164530,9.3,0.040000
progress,15,1561,30,0.697057,0.502734,0.407452,0.272689,0.918146,10,0.401530,0.234599,0.020335,167622,9.3,0.040000
progress,15,1591,30,0.858759,0.801359,0.415962,0.282657,0.925894,10,0.401530,0.234599,0.020335,170721,9.3,0.040000
progress,15,1621,30,0.737061,0.694884,0.421904,0.290286,0.981521,10,0.401530,0.234599,0.020335,173868,9.3,0.040000
progress,15,1633,12,0.530089,0.439719,0.422699,0.291384,0.059350,10,0.401612,0.234683,0.020335,175124,9.3,0.040000
progress,16,1663,30,0.056650,0.004140,0.416096,0.286203,0.077508,10,0.401943,0.235042,0.020523,178537,9.3,0.040000
progress,16,1693,30,0.105973,0.023911,0.410601,0.281555,0.000208,10,0.401912,0.235018,0.020523,181642,9.3,0.040000
progress,16,1719,26,0.050207,0.003804,0.405150,0.277354,0.037070,10,0.401912,0.235018,0.020523,184319,9.3,0.040000
progress,17,1749,30,0.079924,0.008369,0.399571,0.272740,0.111478,10,0.403169,0.236402,0.021221,187734,9.3,0.040000
progress,17,1779,30,0.393946,0.239078,0.399476,0.272172,0.808977,10,0.402895,0.236180,0.021221,190839,9.3,0.040000
progress,17,1809,30,0.809109,0.681397,0.406270,0.278959,0.164883,10,0.402868,0.236142,0.021221,193962,9.3,0.040000
progress,17,1839,30,0.579922,0.486961,0.409102,0.282352,0.033399,10,0.402996,0.236276,0.021221,197016,9.3,0.040000
progress,17,1847,8,0.476885,0.390617,0.409396,0.282821,0.089961,10,0.403024,0.236306,0.021221,197429,9.4,0.040000
progress,18,1877,30,0.197146,0.058457,0.406004,0.279235,0.760043,10,0.402735,0.236075,0.021193,200985,9.3,0.040000
progress,18,1892,15,0.904206,0.833845,0.409953,0.283632,0.584284,10,0.402735,0.236075,0.021193,202400,9.3,0.040000
progress,19,1922,30,0.091094,0.032647,0.404976,0.279714,0.502219,10,0.402722,0.236027,0.021186,205939,9.3,0.040000
progress,19,1952,30,0.721081,0.551487,0.409835,0.283891,0.824614,10,0.403653,0.236944,0.021511,209046,9.3,0.040000
progress,19,1982,30,0.641665,0.506724,0.413344,0.287264,0.981028,10,0.403653,0.236944,0.021511,212149,9.3,0.040000
progress,19,2007,25,0.397769,0.285236,0.413150,0.287239,0.075404,10,0.403653,0.236944,0.021511,214537,9.4,0.040000
progress,20,2037,30,0.098329,0.012479,0.408513,0.283192,0.071013,10,0.403700,0.237000,0.021544,217966,9.3,0.040000
progress,20,2067,30,0.122446,0.023732,0.404361,0.279427,0.249089,10,0.403958,0.237194,0.021544,221103,9.3,0.040000
progress,20,2097,30,0.386112,0.162761,0.404100,0.277758,0.589396,10,0.403958,0.237194,0.021544,224209,9.4,0.040000
progress,20,2127,30,0.674080,0.485989,0.407908,0.280695,0.803202,10,0.403958,0.237194,0.021544,227314,9.4,0.040000
progress,20,2157,30,0.768241,0.659664,0.412920,0.285965,0.904029,10,0.403632,0.236855,0.021544,230414,9.4,0.040000
progress,20,2160,3,0.340026,0.273276,0.412818,0.285948,0.078897,10,0.403632,0.236855,0.021544,230722,9.4,0.040000
progress,21,2190,30,0.958070,0.918950,0.420287,0.294619,0.906849,10,0.401499,0.235281,0.021544,234184,9.4,0.040000
progress,21,2220,30,0.982631,0.966883,0.427887,0.303704,0.999216,10,0.400398,0.234506,0.021544,237313,9.4,0.040000
progress,21,2250,30,0.833702,0.783987,0.433298,0.310107,0.056384,10,0.400398,0.234506,0.021544,240420,9.4,0.040000
progress,21,2261,11,0.511322,0.374922,0.433677,0.310423,0.611487,10,0.400398,0.234506,0.021544,241248,9.4,0.040000
