kind,game,roots,window_roots,avg_abs_error,avg_sq_error,total_avg_abs_error,total_avg_sq_error,last_abs_error,validation_samples,validation_avg_abs_error,validation_avg_sq_error,validation_last_abs_error,elapsed_ms,roots_per_sec
progress,1,100,100,0.473163,0.348346,0.473163,0.348346,1.000538,10,0.403255,0.238363,0.020263,11139,9.0
progress,1,123,23,0.999936,0.999872,0.571666,0.470176,1.000614,10,0.403255,0.238363,0.020263,13559,9.1
progress,2,223,100,0.224523,0.069616,0.415996,0.290553,0.000382,10,0.403255,0.238363,0.020263,24122,9.2
progress,2,246,23,0.000303,0.000000,0.377131,0.263387,0.000309,10,0.403255,0.238363,0.020263,26543,9.3
progress,3,346,100,0.386911,0.223419,0.379957,0.251836,0.788920,10,0.403255,0.238363,0.020263,37081,9.3
progress,3,404,58,0.930412,0.871371,0.458983,0.340779,1.000621,10,0.403255,0.238363,0.020263,43186,9.4
progress,4,504,100,0.353001,0.219610,0.437955,0.316737,0.992262,10,0.403255,0.238363,0.020263,53730,9.4
progress,4,530,26,0.998925,0.997854,0.465474,0.350151,1.000370,10,0.403255,0.238363,0.020263,56470,9.4
progress,5,630,100,0.264330,0.083054,0.433546,0.307754,0.591870,10,0.403255,0.238363,0.020263,67012,9.4
progress,5,664,34,0.959873,0.925351,0.460497,0.339378,1.000330,10,0.403255,0.238363,0.020263,70589,9.4
progress,6,761,97,0.618252,0.543750,0.480605,0.365428,1.000569,10,0.403255,0.238363,0.020263,80813,9.4
progress,7,861,100,0.262408,0.143536,0.455263,0.339657,0.924152,10,0.403255,0.238363,0.020263,91352,9.4
progress,7,898,37,0.994572,0.989195,0.477484,0.366419,1.000315,10,0.403255,0.238363,0.020263,95233,9.4
progress,8,998,100,0.828755,0.704656,0.512681,0.400311,0.998663,10,0.403255,0.238363,0.020263,105834,9.4
progress,8,1029,31,0.999386,0.998774,0.527344,0.418340,1.000040,10,0.403255,0.238363,0.020263,109098,9.4
progress,9,1129,100,0.311825,0.122784,0.508254,0.392162,0.409774,10,0.403255,0.238363,0.020263,119643,9.4
progress,9,1224,95,0.365444,0.136747,0.497170,0.372338,0.258848,10,0.403255,0.238363,0.020263,129634,9.4
progress,10,1324,100,0.103802,0.013903,0.467460,0.345266,0.060254,10,0.403255,0.238363,0.020263,140182,9.4
progress,10,1344,20,0.009969,0.000440,0.460652,0.340134,0.000316,10,0.403255,0.238363,0.020263,142286,9.4
progress,11,1444,100,0.322559,0.171442,0.451089,0.328452,0.657777,10,0.403255,0.238363,0.020263,152858,9.4
progress,11,1465,21,0.138931,0.042290,0.446614,0.324350,0.000615,10,0.403255,0.238363,0.020263,155067,9.4
progress,12,1565,100,0.673655,0.523131,0.461121,0.337052,0.990985,10,0.403255,0.238363,0.020263,165603,9.5
progress,12,1584,19,0.997033,0.994089,0.467550,0.344933,1.000314,10,0.403255,0.238363,0.020263,167599,9.5
progress,13,1637,53,0.043556,0.004330,0.453822,0.333905,0.000280,10,0.403255,0.238363,0.020263,173193,9.5
progress,14,1737,100,0.171479,0.054363,0.437568,0.317812,0.644783,10,0.403255,0.238363,0.020263,183718,9.5
progress,14,1805,68,0.912318,0.841481,0.455453,0.337540,1.000042,10,0.403255,0.238363,0.020263,190862,9.5
progress,15,1905,100,0.274785,0.096255,0.445969,0.324874,0.411164,10,0.403255,0.238363,0.020263,201422,9.5
progress,15,1999,94,0.692919,0.494521,0.457582,0.332852,0.744932,10,0.403255,0.238363,0.020263,211303,9.5
progress,16,2095,96,0.759354,0.587753,0.471410,0.344532,1.000397,10,0.403255,0.238363,0.020263,221418,9.5
progress,17,2195,100,0.274184,0.123044,0.462425,0.334442,0.104244,10,0.403255,0.238363,0.020263,231969,9.5
progress,17,2288,93,0.745080,0.632696,0.473914,0.346565,1.000332,10,0.403255,0.238363,0.020263,241757,9.5
progress,18,2388,100,0.350314,0.130391,0.468738,0.337512,0.375565,10,0.403255,0.238363,0.020263,252319,9.5
progress,18,2483,95,0.593050,0.395832,0.473494,0.339744,0.991988,10,0.403255,0.238363,0.020263,262312,9.5
progress,19,2551,68,0.059268,0.006421,0.462452,0.330858,0.000094,10,0.403255,0.238363,0.020263,269480,9.5
progress,20,2617,66,0.030954,0.001575,0.451570,0.322554,0.000365,10,0.403255,0.238363,0.020263,276438,9.5
progress,21,2717,100,0.121701,0.022705,0.439429,0.311518,0.369536,10,0.403255,0.238363,0.020263,287017,9.5
progress,21,2803,86,0.211592,0.086730,0.432439,0.304621,0.000349,10,0.403255,0.238363,0.020263,296064,9.5
progress,22,2903,100,0.229275,0.066579,0.425440,0.296421,0.419190,10,0.403255,0.238363,0.020263,306736,9.5
progress,22,2942,39,0.850027,0.770521,0.431069,0.302706,1.000626,10,0.403255,0.238363,0.020263,311008,9.5
progress,23,3042,100,0.573421,0.430555,0.435748,0.306909,0.999514,10,0.403255,0.238363,0.020263,322060,9.4
progress,23,3052,10,0.999975,0.999951,0.437597,0.309180,1.000311,10,0.403255,0.238363,0.020263,323182,9.4
progress,24,3152,100,0.606634,0.523467,0.442960,0.315978,1.000037,10,0.403255,0.238363,0.020263,334212,9.4
progress,25,3252,100,0.784943,0.628938,0.453476,0.325602,0.897769,10,0.403255,0.238363,0.020263,345251,9.4
progress,25,3314,62,0.967115,0.936753,0.463085,0.337035,1.000615,10,0.403255,0.238363,0.020263,350983,9.4
progress,26,3414,100,0.102854,0.014901,0.452534,0.327600,0.158063,10,0.403255,0.238363,0.020263,362016,9.4
progress,26,3495,81,0.121678,0.027372,0.444866,0.320642,0.000606,10,0.403255,0.238363,0.020263,370942,9.4
progress,27,3584,89,0.212652,0.071561,0.439099,0.314456,0.000339,10,0.403255,0.238363,0.020263,380762,9.4
progress,28,3684,100,0.215932,0.078872,0.433042,0.308062,0.563280,10,0.403255,0.238363,0.020263,391789,9.4
progress,28,3705,21,0.450974,0.251283,0.433143,0.307740,0.000081,10,0.403255,0.238363,0.020263,394103,9.4
progress,29,3770,65,0.379649,0.305346,0.432221,0.307699,1.000050,10,0.403255,0.238363,0.020263,400402,9.4
progress,30,3870,100,0.105800,0.013304,0.423786,0.300091,0.111707,10,0.403255,0.238363,0.020263,411436,9.4
progress,30,3920,50,0.828236,0.799160,0.428945,0.306457,1.000044,10,0.403255,0.238363,0.020263,416919,9.4
progress,31,4004,84,0.138764,0.033021,0.422857,0.300721,0.000111,10,0.403255,0.238363,0.020263,426267,9.4
progress,32,4104,100,0.188673,0.054747,0.417151,0.294727,0.398668,10,0.403255,0.238363,0.020263,437284,9.4
progress,32,4122,18,0.066107,0.025996,0.415618,0.293554,0.000340,10,0.403255,0.238363,0.020263,439268,9.4
progress,33,4154,32,0.040904,0.003038,0.412732,0.291316,0.000753,10,0.403255,0.238363,0.020263,442818,9.4
progress,34,4254,100,0.320043,0.155222,0.410553,0.288116,0.674343,10,0.403255,0.238363,0.020263,453854,9.4
progress,34,4348,94,0.782242,0.622546,0.418588,0.295347,0.994462,10,0.403255,0.238363,0.020263,464203,9.4
progress,35,4448,100,0.484164,0.301177,0.420063,0.295478,0.997094,10,0.403255,0.238363,0.020263,475238,9.4
progress,35,4471,23,0.999536,0.999073,0.423044,0.299097,1.000038,10,0.403255,0.238363,0.020263,477746,9.4
progress,36,4571,100,0.162358,0.030987,0.417341,0.293232,0.177798,10,0.403255,0.238363,0.020263,488777,9.4
progress,36,4624,53,0.032233,0.005376,0.412926,0.289932,0.000092,10,0.403255,0.238363,0.020263,494621,9.3
progress,37,4724,100,0.024830,0.001064,0.404711,0.283817,0.000380,10,0.403255,0.238363,0.020263,505650,9.3
progress,37,4728,4,0.000318,0.000000,0.404369,0.283577,0.000370,10,0.403255,0.238363,0.020263,506091,9.3
progress,38,4828,100,0.558787,0.436852,0.407567,0.286752,0.999586,10,0.403255,0.238363,0.020263,517123,9.3
progress,38,4840,12,0.999973,0.999946,0.409036,0.288520,1.000318,10,0.403255,0.238363,0.020263,518423,9.3
progress,39,4940,100,0.033518,0.001337,0.401435,0.282707,0.027586,10,0.403255,0.238363,0.020263,529496,9.3
progress,39,4968,28,0.020193,0.000530,0.399286,0.281116,0.000102,10,0.403255,0.238363,0.020263,532582,9.3
progress,40,5068,100,0.137045,0.031075,0.394111,0.276183,0.353897,10,0.403255,0.238363,0.020263,543616,9.3
progress,40,5146,78,0.210609,0.066979,0.391330,0.273012,0.000612,10,0.403255,0.238363,0.020263,552205,9.3
progress,41,5224,78,0.544514,0.485425,0.393617,0.276183,1.000612,10,0.403255,0.238363,0.020263,560824,9.3
progress,42,5324,100,0.092973,0.014938,0.387970,0.271276,0.223359,10,0.403255,0.238363,0.020263,571866,9.3
progress,42,5356,32,0.051974,0.004624,0.385963,0.269683,0.000299,10,0.403255,0.238363,0.020263,575393,9.3
progress,43,5456,100,0.083260,0.014408,0.380415,0.265004,0.465459,10,0.403255,0.238363,0.020263,586427,9.3
progress,43,5520,64,0.175884,0.068438,0.378043,0.262725,0.000100,10,0.403255,0.238363,0.020263,593449,9.3
progress,44,5620,100,0.356791,0.196390,0.377665,0.261545,0.992550,10,0.403255,0.238363,0.020263,604497,9.3
progress,44,5643,23,0.998677,0.997362,0.380196,0.264544,1.000624,10,0.403255,0.238363,0.020263,607019,9.3
progress,45,5743,100,0.313348,0.142488,0.379032,0.262419,0.749473,10,0.403255,0.238363,0.020263,618028,9.3
progress,45,5792,49,0.907120,0.833135,0.383500,0.267247,1.000038,10,0.403255,0.238363,0.020263,623259,9.3
progress,46,5892,100,0.236878,0.100022,0.381011,0.264409,0.487637,10,0.403255,0.238363,0.020263,633831,9.3
progress,46,5986,94,0.747061,0.577579,0.386760,0.269327,1.000326,10,0.403255,0.238363,0.020263,643717,9.3
progress,47,6086,100,0.102120,0.014796,0.382083,0.265144,0.101796,10,0.403255,0.238363,0.020263,654281,9.3
progress,47,6163,77,0.540135,0.473400,0.384057,0.267746,1.000046,10,0.403255,0.238363,0.020263,662375,9.3
progress,48,6263,100,0.600766,0.549825,0.387517,0.272250,0.998391,10,0.403255,0.238363,0.020263,672973,9.3
progress,48,6284,21,0.999672,0.999345,0.389563,0.274680,1.000039,10,0.403255,0.238363,0.020263,675189,9.3
progress,49,6384,100,0.240186,0.075423,0.387223,0.271559,0.415370,10,0.403255,0.238363,0.020263,685735,9.3
progress,49,6448,64,0.264564,0.104008,0.386006,0.269896,0.000363,10,0.403255,0.238363,0.020263,692468,9.3
progress,50,6548,100,0.735847,0.614903,0.391349,0.275165,0.961780,10,0.403255,0.238363,0.020263,702999,9.3
